recipe_title;url;rating;cuisine;course;diet;prep_time;cook_time;ingredients;;;;;;;;;;;;;
Roasted Peppers And Mushroom Tortilla Pizza Recipe;https://www.archanaskitchen.com/roasted-peppers-and-mushroom-tortilla-pizza-recipe;4.95;Mexican;Dinner;Vegetarian;15 M;15 M;Tortillas|Extra Virgin Olive Oil|Garlic|Mozzarella cheese|Red Yellow or Green Bell Pepper (Capsicum)|Onions|Kalmatta olives|Button mushrooms;;;;;;;;;;;;;
Thakkali Gotsu Recipe | Thakkali Curry | Spicy & Tangy Tomato Gravy;https://www.archanaskitchen.com/tomato-gotsu-recipe-spicy-tangy-tomato-gravy;4.93;South Indian Recipes;Lunch;Vegetarian;10 M;20 M;Sesame (Gingelly) Oil|Mustard seeds (Rai/ Kadugu)|Curry leaves|Garlic|Pearl onions (Sambar Onions)|Tomatoes|Tamarind|Turmeric powder (Haldi)|Salt|Jaggery;;;;;;;;;;;;;
Spicy Grilled Pineapple Salsa Recipe;https://www.archanaskitchen.com/spicy-grilled-pineapple-salsa-recipe;4.94;Mexican;Side Dish;Vegetarian;10 M;0 M;Extra Virgin Olive Oil|Pineapple|White onion|Red Yellow and Green Bell Peppers (Capsicum)|Pickled Jalapenos|Coriander (Dhania) Leaves|Mint Leaves (Pudina)|Salt|Lemon juice|Paprika powder;;;;;;;;;;;;;
Karwar Style Dali Thoy Recipe - Toor dal Curry;https://www.archanaskitchen.com/dali-thoy-recipe-karwar-style-toor-dal-curry;4.88;Coastal Karnataka;Side Dish;High Protein Vegetarian;5 M;20 M;Arhar dal (Split Toor Dal)|Turmeric powder (Haldi)|Salt|Dry Red Chillies|Mustard seeds (Rai/ Kadugu)|Asafoetida (hing)|Curry leaves|Coriander (Dhania) Leaves;;;;;;;;;;;;;
Rajma Kofta In Milk And Poppy Seed Gravy Recipe;https://www.archanaskitchen.com/rajma-kofta-in-milk-and-poppy-seed-gravy-recipe;4.82;North Indian Recipes;Side Dish;High Protein Vegetarian;20 M;30 M;Rajma (Large Kidney Beans)|Cashew nuts|Sultana Raisins|Asafoetida (hing)|Cumin seeds (Jeera)|Gram flour (besan)|Red Chilli powder|Coriander (Dhania) Leaves|Poppy seeds|Fresh cream|Milk|Water|Salt|Saffron strands;;;;;;;;;;;;;
Barnyard Millet Mushroom Biryani Recipe;https://www.archanaskitchen.com/barnyard-millet-mushroom-biriyani-recipe;4.90;Indian;Lunch;Vegetarian;10 M;30 M;Barnyard Millet|Oil|Bay leaf (tej patta)|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Star anise|Curry leaves|Green Chillies|Garlic|Ginger|Onions|Button mushrooms|Salt|Coriander (Dhania) Powder|Black pepper powder|Coriander (Dhania) Leaves|Mint Leaves (Pudina);;;;;;;;;;;;;
Mexican Green Sauce Recipe ;https://www.archanaskitchen.com/mexican-green-sauce-recipe;4.95;Mexican;Side Dish;Vegetarian;10 M;0 M;Coriander (Dhania) Leaves|Tahini|Lemon juice|Extra Virgin Olive Oil|Honey|Ginger|Salt;;;;;;;;;;;;;
Karnataka Style Avarekalu Chitranna Recipe (Field Beans Tossed With Lemon Rice);https://www.archanaskitchen.com/karnataka-style-avarekalu-chitranna-recipe-field-beans-tossed-with-lemon-rice;4.86;Karnataka;South Indian Breakfast;Vegetarian;10 M;30 M;Avarekalu / Lilva Beans|Rice|Turmeric powder (Haldi)|Asafoetida (hing)|Green Chillies|Curry leaves|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Lemon juice|Coriander (Dhania) Leaves|Onion|Salt;;;;;;;;;;;;;
Schezwan Style Chinese Veg Samosa Recipe - Roz Ka Khana with Figaro Olive Oil;https://www.archanaskitchen.com/schezwan-style-chinese-veg-samosa-recipe-roz-ka-khana-with-figaro-olive-oil;4.93;North Indian Recipes;Snack;Vegetarian;10 M;45 M;Whole Wheat Flour|Sooji (Semolina/ Rava)|Ajwain (Carom seeds)|Salt|Extra Virgin Olive Oil|Carrot (Gajjar)|Green Bell Pepper (Capsicum)|Cabbage (Patta Gobi/ Muttaikose)|Ginger|Garlic|Green Chilli|Spring Onion Greens|Salt|Black pepper powder;;;;;;;;;;;;;
Pineapple Upside Down Cake Recipe;https://www.archanaskitchen.com/pineapple-upside-down-cake;4.78;Continental;Dessert;Vegetarian;20 M;40 M;Butter (Unsalted)|Caster Sugar|Whole Eggs|All Purpose Flour (Maida)|Salt|Baking powder|Canned Pineapple (Preserved & Tinned)|Canned Cherries;;;;;;;;;;;;;
Matar Butter Masala Recipe;https://www.archanaskitchen.com/matar-butter-masala-recipe;4.95;North Indian Recipes;Lunch;Vegetarian;5 M;20 M;Cashew nuts|Onions|Ginger|Garlic|Green Chilli|Green peas (Matar)|Butter (Salted)|Bay leaf (tej patta)|Turmeric powder (Haldi)|Kashmiri Red Chilli Powder|Coriander Powder (Dhania)|Salt|Tomatoes|Sugar|Fresh cream|Kasuri Methi (Dried Fenugreek Leaves)|Coriander (Dhania) Leaves;;;;;;;;;;;;;
Cheesy Rice Poppers Recipe;https://www.archanaskitchen.com/cheesy-rice-poppers;4.95;Continental;Dinner;Vegetarian;10 M;10 M;Butter (Salted)|Garlic|Green Chillies|Onion|Green capsicum|Cooked rice|Sweet corn|All Purpose Flour (Maida)|Mint Leaves (Pudina)|Mozzarella cheese|Black pepper powder|Oil|Salt|All Purpose Flour (Maida)|Water|Whole Wheat Bread crumbs|Mixed Herbs (Dried)|Red Chilli flakes;;;;;;;;;;;;;
Savory Shrimps On Skillet Recipe;https://www.archanaskitchen.com/savory-shrimps-on-skillet-recipe;5.00;Indian;Appetizer;Non Vegeterian;20 M;8 M;Shrimps|Butter (Salted)|Orange color|Lemon juice|Honey|Black pepper powder|Garlic|Ginger|Fresh Thyme leaves;;;;;;;;;;;;;
Goan Sorak Curry Recipe;https://www.archanaskitchen.com/goan-sorak-curry-recipe;4.85;Goan Recipes;Dinner;Vegetarian;15 M;15 M;Oil|Kokum (Malabar Tamarind)|Green Chillies|Jaggery|Salt|Coriander (Dhania) Leaves|Fresh coconut|Onion|Garlic|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Dry Red Chillies|Turmeric powder (Haldi);;;;;;;;;;;;;
Toffee Banana Recipe (Classic Chinese Dessert);https://www.archanaskitchen.com/toffee-banana-recipe-classic-chinese-dessert;4.86;Chinese;Dessert;Vegetarian;10 M;60 M;Ripe Bananas|Sesame seeds (Til seeds)|Sesame seeds (Til seeds)|Oil|Chilled water|All Purpose Flour (Maida)|Corn flour|Oil|Baking powder|Sugar|Water;;;;;;;;;;;;;
Mango Tomato Bean Salsa Recipe;https://www.archanaskitchen.com/mango-tomato-bean-salsa-recipe;4.85;Mexican;Appetizer;Vegetarian;10 M;0 M;Mango (Ripe)|Tomato|Onion|Rajma (Large Kidney Beans)|Pickled Jalapenos|Mint Leaves (Pudina)|Lemon juice|Coriander (Dhania) Leaves|Salt|Cumin powder (Jeera)|Red Chilli powder;;;;;;;;;;;;;
Coorg Style Kumbala Curry Recipe (Pumpkin Sabzi);https://www.archanaskitchen.com/coorg-style-kumbala-curry-recipe-pumpkin-sabzi;4.85;Coorg;Side Dish;Vegetarian;15 M;15 M;Kaddu (Parangikai/ Pumpkin)|Turmeric powder (Haldi)|Salt|Fresh coconut|Cumin seeds (Jeera)|Green Chillies|Oil|Mustard seeds (Rai/ Kadugu)|Curry leaves|Dry Red Chillies|Dry Red Chillies;;;;;;;;;;;;;
Kurkuri Bhindi And Onion Masala Recipe;https://www.archanaskitchen.com/kurkuri-bhindi-and-onion-masala-recipe;4.61;North Indian Recipes;Lunch;Vegetarian;15 M;45 M;Bhindi (Lady Finger/Okra)|Gram flour (besan)|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Amchur (Dry Mango Powder)|Salt|Water|Oil|Cumin seeds (Jeera)|Mustard seeds (Rai/ Kadugu)|Asafoetida (hing)|Green Chilli|Onions|Coriander (Dhania) Leaves;;;;;;;;;;;;;
Kerala Cherupayar Curry Recipe (Green Moong and Yellow Moong Dal Recipe);https://www.archanaskitchen.com/kerala-cherupayar-curry-recipe-green-moong-and-yellow-moong-dal-recipe;4.92;Kerala Recipes;Lunch;High Protein Vegetarian;60 M;30 M;Green Moong Dal (Whole)|Yellow Moong Dal (Split)|Pearl onions (Sambar Onions)|Mustard seeds (Rai/ Kadugu)|Curry leaves|Dry Red Chilli|Turmeric powder (Haldi)|Salt|Coconut Oil|Fresh coconut|Green Chilli|Cumin seeds (Jeera);;;;;;;;;;;;;
Kela Matar ki Sabzi Recipe - Raw Banana Green Peas Stir Fry;https://www.archanaskitchen.com/kela-matar-ki-sabzi-recipe-raw-banana-green-peas-stir-fry;4.93;North Indian Recipes;Lunch;No Onion No Garlic (Sattvic);15 M;20 M;Raw Banana|Green peas (Matar)|Cumin seeds (Jeera)|Green Chilli|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Amchur (Dry Mango Powder)|Lemon|Oil|Coriander (Dhania) Leaves|Salt;;;;;;;;;;;;;
